股票代码-0,股票名称-1,限价单最大下单量-16,限价单最小下单量-17,最小变动价位-18,创建日-19,昨日收盘价-2,上市日-20,到期日-21,昨日结算-3,合约在RZRK的代码-32,合约在交易所的代码-33,利息额-35,除权除息-36,停牌-37,昨日持仓-4,涨停价-5,投资者适当性管理分类-50,最小回购天数-52,跌停价-6,总股本-7,流通盘-8,合约数量乘数-9,股票-S
109560, \6d59\6c5f1509, 0L, 0L,0.001, ,100,20151022, ,0,109560,109560,2263, N,0,0,100000,0,0,0, 13200000L, 0L,1,109560,
109561, \6d59\6c5f1510, 0L, 0L,0.001, ,100,20151022, ,0,109561,109561,2340, N,0,0,100000,0,0,0, 39600000L, 0L,1,109561,
109562, \6d59\6c5f1511, 0L, 0L,0.001, ,100,20151022, ,0,109562,109562,2486, N,0,0,100000,0,0,0, 39600000L, 0L,1,109562,
109563, \6d59\6c5f1512, 0L, 0L,0.001, ,100,20151022, ,0,109563,109563,897, N,0,0,100000,0,0,0, 39600000L, 0L,1,109563,
109564, \6d59\6c5f15Z5, 0L, 0L,0.001, ,100,20151022, ,0,109564,109564,2263, N,0,0,100000,0,0,0, 28700000L, 0L,1,109564,
109565, \6d59\6c5f15Z6, 0L, 0L,0.001, ,100,20151022, ,0,109565,109565,2340, N,0,0,100000,0,0,0, 43100000L, 0L,1,109565,
109566, \6d59\6c5f15Z7, 0L, 0L,0.001, ,100,20151022, ,0,109566,109566,2486, N,0,0,100000,0,0,0, 28700000L, 0L,1,109566,
109567, \6d59\6c5f15Z8, 0L, 0L,0.001, ,100,20151022, ,0,109567,109567,897, N,0,0,100000,0,0,0, 43100000L, 0L,1,109567,
109568, \6c5f\897f15Z1, 0L, 0L,0.001, ,100,20151027, ,0,109568,109568,2291, N,0,0,100000,0,0,0, 7500000L, 0L,1,109568,
109569, \6c5f\897f15Z2, 0L, 0L,0.001, ,100,20151027, ,0,109569,109569,2321, N,0,0,100000,0,0,0, 7500000L, 0L,1,109569,
109570, \6c5f\897f15Z3, 0L, 0L,0.001, ,100,20151027, ,0,109570,109570,2472, N,0,0,100000,0,0,0, 7500000L, 0L,1,109570,
109571, \6c5f\897f15Z4, 0L, 0L,0.001, ,100,20151027, ,0,109571,109571,860, N,0,0,100000,0,0,0, 7500000L, 0L,1,109571,
109572, \6c5f\897f1505, 0L, 0L,0.001, ,100,20151027, ,0,109572,109572,2306, N,0,0,100000,0,0,0, 44855400L, 0L,1,109572,
109573, \6c5f\897f1506, 0L, 0L,0.001, ,100,20151027, ,0,109573,109573,2404, N,0,0,100000,0,0,0, 134500000L, 0L,1,109573,
109574, \6c5f\897f1507, 0L, 0L,0.001, ,100,20151027, ,0,109574,109574,2548, N,0,0,100000,0,0,0, 134500000L, 0L,1,109574,
109575, \6c5f\897f1508, 0L, 0L,0.001, ,100,20151027, ,0,109575,109575,860, N,0,0,100000,0,0,0, 134500000L, 0L,1,109575,
109576, \6c5f\897f15Z5, 0L, 0L,0.001, ,100,20151027, ,0,109576,109576,2268, N,0,0,100000,0,0,0, 1500000L, 0L,1,109576,
109577, \6c5f\897f15Z6, 0L, 0L,0.001, ,100,20151027, ,0,109577,109577,2306, N,0,0,100000,0,0,0, 1500000L, 0L,1,109577,
109578, \6c5f\897f15Z7, 0L, 0L,0.001, ,100,20151027, ,0,109578,109578,2540, N,0,0,100000,0,0,0, 1500000L, 0L,1,109578,
109579, \6c5f\897f15Z8, 0L, 0L,0.001, ,100,20151027, ,0,109579,109579,860, N,0,0,100000,0,0,0, 1500000L, 0L,1,109579,
109580, \7518\808315Z3, 0L, 0L,0.001, ,100,20151027, ,0,109580,109580,2366, N,0,0,100000,0,0,0, 10000000L, 0L,1,109580,
109581, \7518\808315Z4, 0L, 0L,0.001, ,100,20151027, ,0,109581,109581,847, N,0,0,100000,0,0,0, 10000000L, 0L,1,109581,
109582, \7518\80831509, 0L, 0L,0.001, ,100,20151027, ,0,109582,109582,2276, N,0,0,100000,0,0,0, 9300000L, 0L,1,109582,
109583, \7518\80831510, 0L, 0L,0.001, ,100,20151027, ,0,109583,109583,2366, N,0,0,100000,0,0,0, 7000000L, 0L,1,109583,
109584, \7518\80831511, 0L, 0L,0.001, ,100,20151027, ,0,109584,109584,2510, N,0,0,100000,0,0,0, 7700000L, 0L,1,109584,
109585, \7518\80831512, 0L, 0L,0.001, ,100,20151027, ,0,109585,109585,847, N,0,0,100000,0,0,0, 10000000L, 0L,1,109585,
109586, \4e0a\6d771505, 0L, 0L,0.001, ,100,20151030, ,0,109586,109586,2175, N,0,0,100000,0,0,0, 5000000L, 0L,1,109586,
109587, \4e0a\6d771506, 0L, 0L,0.001, ,100,20151030, ,0,109587,109587,2301, N,0,0,100000,0,0,0, 78600000L, 0L,1,109587,
109588, \4e0a\6d771507, 0L, 0L,0.001, ,100,20151030, ,0,109588,109588,751, N,0,0,100000,0,0,0, 78600000L, 0L,1,109588,
109589, \4e0a\6d7715Z3, 0L, 0L,0.001, ,100,20151030, ,0,109589,109589,2078, N,0,0,100000,0,0,0, 31500000L, 0L,1,109589,
109590, \4e0a\6d7715Z4, 0L, 0L,0.001, ,100,20151030, ,0,109590,109590,2175, N,0,0,100000,0,0,0, 47500000L, 0L,1,109590,
109591, \4e0a\6d7715Z5, 0L, 0L,0.001, ,100,20151030, ,0,109591,109591,2301, N,0,0,100000,0,0,0, 47500000L, 0L,1,109591,
109592, \4e0a\6d7715Z6, 0L, 0L,0.001, ,100,20151030, ,0,109592,109592,751, N,0,0,100000,0,0,0, 31500000L, 0L,1,109592,
109593, \56db\5ddd15Z1, 0L, 0L,0.001, ,100,20151102, ,0,109593,109593,2285, N,0,0,100000,0,0,0, 153000000L, 0L,1,109593,
109594, \56db\5ddd15Z2, 0L, 0L,0.001, ,100,20151102, ,0,109594,109594,2374, N,0,0,100000,0,0,0, 153000000L, 0L,1,109594,
109595, \56db\5ddd15Z3, 0L, 0L,0.001, ,100,20151102, ,0,109595,109595,2500, N,0,0,100000,0,0,0, 153000000L, 0L,1,109595,
109596, \56db\5ddd15Z4, 0L, 0L,0.001, ,100,20151102, ,0,109596,109596,812, N,0,0,100000,0,0,0, 53420000L, 0L,1,109596,
109597, \798f\5efa1513, 0L, 0L,0.001, ,100,20151103, ,0,109597,109597,2196, N,0,0,100000,0,0,0, 3100000L, 0L,1,109597,
109598, \798f\5efa1514, 0L, 0L,0.001, ,100,20151103, ,0,109598,109598,2277, N,0,0,100000,0,0,0, 9300000L, 0L,1,109598,
109599, \798f\5efa1515, 0L, 0L,0.001, ,100,20151103, ,0,109599,109599,2402, N,0,0,100000,0,0,0, 9300000L, 0L,1,109599,
109600, \798f\5efa1516, 0L, 0L,0.001, ,100,20151103, ,0,109600,109600,774, N,0,0,100000,0,0,0, 9300000L, 0L,1,109600,
109601, \798f\5efa15Z5, 0L, 0L,0.001, ,100,20151103, ,0,109601,109601,2277, N,0,0,100000,0,0,0, 3300000L, 0L,1,109601,
109602, \798f\5efa15Z6, 0L, 0L,0.001, ,100,20151103, ,0,109602,109602,774, N,0,0,100000,0,0,0, 3200000L, 0L,1,109602,
109603, \798f\5efa15Z7, 0L, 0L,0.001, ,100,20151103, ,0,109603,109603,2277, N,0,0,100000,0,0,0, 1800000L, 0L,1,109603,
109604, \798f\5efa15Z8, 0L, 0L,0.001, ,100,20151103, ,0,109604,109604,774, N,0,0,100000,0,0,0, 1700000L, 0L,1,109604,
109605, \5b89\5fbd1510, 0L, 0L,0.001, ,100,20151103, ,0,109605,109605,2306, N,0,0,100000,0,0,0, 95400000L, 0L,1,109605,
109606, \5b89\5fbd1511, 0L, 0L,0.001, ,100,20151103, ,0,109606,109606,2387, N,0,0,100000,0,0,0, 95400000L, 0L,1,109606,
109607, \5b89\5fbd1512, 0L, 0L,0.001, ,100,20151103, ,0,109607,109607,2476, N,0,0,100000,0,0,0, 63600000L, 0L,1,109607,
109608, \5b89\5fbd1513, 0L, 0L,0.001, ,100,20151103, ,0,109608,109608,822, N,0,0,100000,0,0,0, 64368600L, 0L,1,109608,
109609, \5b89\5fbd15Z3, 0L, 0L,0.001, ,100,20151103, ,0,109609,109609,2350, N,0,0,100000,0,0,0, 99010500L, 0L,1,109609,
109610, \5b89\5fbd15Z4, 0L, 0L,0.001, ,100,20151103, ,0,109610,109610,808, N,0,0,100000,0,0,0, 52000000L, 0L,1,109610,
109611, \5b81\590f15Z5, 0L, 0L,0.001, ,100,20151105, ,0,109611,109611,2465, N,0,0,100000,0,0,0, 2000000L, 0L,1,109611,
109612, \5b81\590f15Z6, 0L, 0L,0.001, ,100,20151105, ,0,109612,109612,784, N,0,0,100000,0,0,0, 5000000L, 0L,1,109612,
109613, \5b81\590f1509, 0L, 0L,0.001, ,100,20151105, ,0,109613,109613,2231, N,0,0,100000,0,0,0, 25000000L, 0L,1,109613,
109614, \5b81\590f1510, 0L, 0L,0.001, ,100,20151105, ,0,109614,109614,2304, N,0,0,100000,0,0,0, 25000000L, 0L,1,109614,
109615, \5b81\590f1511, 0L, 0L,0.001, ,100,20151105, ,0,109615,109615,2465, N,0,0,100000,0,0,0, 25000000L, 0L,1,109615,
109616, \5b81\590f1512, 0L, 0L,0.001, ,100,20151105, ,0,109616,109616,784, N,0,0,100000,0,0,0, 20101100L, 0L,1,109616,
109617, \5b81\590f15Z1, 0L, 0L,0.001, ,100,20151105, ,0,109617,109617,2231, N,0,0,100000,0,0,0, 20000000L, 0L,1,109617,
109618, \5b81\590f15Z2, 0L, 0L,0.001, ,100,20151105, ,0,109618,109618,2304, N,0,0,100000,0,0,0, 15000000L, 0L,1,109618,
109619, \5b81\590f15Z3, 0L, 0L,0.001, ,100,20151105, ,0,109619,109619,2465, N,0,0,100000,0,0,0, 15000000L, 0L,1,109619,
109620, \5b81\590f15Z4, 0L, 0L,0.001, ,100,20151105, ,0,109620,109620,784, N,0,0,100000,0,0,0, 9176500L, 0L,1,109620,
109621, \5929\6d2515Z4, 0L, 0L,0.001, ,100,20151105, ,0,109621,109621,2267, N,0,0,100000,0,0,0, 8310000L, 0L,1,109621,
109622, \5929\6d2515Z5, 0L, 0L,0.001, ,100,20151105, ,0,109622,109622,2377, N,0,0,100000,0,0,0, 3100000L, 0L,1,109622,
109623, \5929\6d2515Z6, 0L, 0L,0.001, ,100,20151105, ,0,109623,109623,761, N,0,0,100000,0,0,0, 3700000L, 0L,1,109623,
109624, \5929\6d251509, 0L, 0L,0.001, ,100,20151105, ,0,109624,109624,2194, N,0,0,100000,0,0,0, 5070000L, 0L,1,109624,
109625, \5929\6d251510, 0L, 0L,0.001, ,100,20151105, ,0,109625,109625,2267, N,0,0,100000,0,0,0, 15400000L, 0L,1,109625,
109626, \5929\6d251511, 0L, 0L,0.001, ,100,20151105, ,0,109626,109626,2392, N,0,0,100000,0,0,0, 15400000L, 0L,1,109626,
109627, \5929\6d251512, 0L, 0L,0.001, ,100,20151105, ,0,109627,109627,761, N,0,0,100000,0,0,0, 15400000L, 0L,1,109627,
109628, \5e7f\4e1c1513, 0L, 0L,0.001, ,100,20151109, ,0,109628,109628,2039, N,0,0,100000,0,0,0, 15892000L, 0L,1,109628,
109629, \5e7f\4e1c1514, 0L, 0L,0.001, ,96,20151109, ,0,109629,109629,2132, N,0,0,100000,0,0,0, 47500000L, 330L,1,109629,
109630, \5e7f\4e1c1515, 0L, 0L,0.001, ,100,20151109, ,0,109630,109630,2248, N,0,0,100000,0,0,0, 47500000L, 0L,1,109630,
109631, \5e7f\4e1c1516, 0L, 0L,0.001, ,100,20151109, ,0,109631,109631,700, N,0,0,100000,0,0,0, 47500000L, 0L,1,109631,
109632, \5c71\897f15Z1, 0L, 0L,0.001, ,100,20151110, ,0,109632,109632,2131, N,0,0,100000,0,0,0, 69982500L, 0L,1,109632,
109633, \5c71\897f15Z2, 0L, 0L,0.001, ,100,20151110, ,0,109633,109633,705, N,0,0,100000,0,0,0, 67482700L, 0L,1,109633,
109634, \5c71\897f1505, 0L, 0L,0.001, ,100,20151110, ,0,109634,109634,2060, N,0,0,100000,0,0,0, 24922000L, 0L,1,109634,
109635, \5c71\897f1506, 0L, 0L,0.001, ,100,20151110, ,0,109635,109635,2203, N,0,0,100000,0,0,0, 66207900L, 0L,1,109635,
109636, \5c71\897f1507, 0L, 0L,0.001, ,100,20151110, ,0,109636,109636,2318, N,0,0,100000,0,0,0, 66207900L, 0L,1,109636,
109637, \5c71\897f1508, 0L, 0L,0.001, ,100,20151110, ,0,109637,109637,716, N,0,0,100000,0,0,0, 66207900L, 0L,1,109637,
109638, \6cb3\53571509, 0L, 0L,0.001, ,100,20151110, ,0,109638,109638,2167, N,0,0,100000,0,0,0, 70403800L, 0L,1,109638,
109639, \6cb3\53571510, 0L, 0L,0.001, ,100,20151110, ,0,109639,109639,2275, N,0,0,100000,0,0,0, 102000000L, 0L,1,109639,
109640, \6cb3\53571511, 0L, 0L,0.001, ,100,20151110, ,0,109640,109640,2390, N,0,0,100000,0,0,0, 102000000L, 0L,1,109640,
109641, \6cb3\53571512, 0L, 0L,0.001, ,100,20151110, ,0,109641,109641,738, N,0,0,100000,0,0,0, 68000000L, 0L,1,109641,
109642, \6cb3\535715Z5, 0L, 0L,0.001, ,100,20151110, ,0,109642,109642,2167, N,0,0,100000,0,0,0, 42673800L, 0L,1,109642,
109643, \6cb3\535715Z6, 0L, 0L,0.001, ,100,20151110, ,0,109643,109643,2275, N,0,0,100000,0,0,0, 63000000L, 0L,1,109643,
109644, \6cb3\535715Z7, 0L, 0L,0.001, ,100,20151110, ,0,109644,109644,2390, N,0,0,100000,0,0,0, 63000000L, 0L,1,109644,
109645, \6cb3\535715Z8, 0L, 0L,0.001, ,100,20151110, ,0,109645,109645,738, N,0,0,100000,0,0,0, 42000000L, 0L,1,109645,
109646, \4e91\53571509, 0L, 0L,0.001, ,100,20151113, ,0,109646,109646,2077, N,0,0,100000,0,0,0, 62900000L, 0L,1,109646,
109647, \4e91\53571510, 0L, 0L,0.001, ,100,20151113, ,0,109647,109647,2210, N,0,0,100000,0,0,0, 109000000L, 0L,1,109647,
109648, \4e91\53571511, 0L, 0L,0.001, ,100,20151113, ,0,109648,109648,2316, N,0,0,100000,0,0,0, 109000000L, 0L,1,109648,
109649, \4e91\53571512, 0L, 0L,0.001, ,100,20151113, ,0,109649,109649,685, N,0,0,100000,0,0,0, 109000000L, 0L,1,109649,
109650, \4e91\535715Z9, 0L, 0L,0.001, ,100,20151113, ,0,109650,109650,2077, N,0,0,100000,0,0,0, 65000000L, 0L,1,109650,
109651, \4e91\53571513, 0L, 0L,0.001, ,100,20151113, ,0,109651,109651,2210, N,0,0,100000,0,0,0, 65000000L, 0L,1,109651,
109652, \4e91\53571514, 0L, 0L,0.001, ,100,20151113, ,0,109652,109652,2316, N,0,0,100000,0,0,0, 63000000L, 0L,1,109652,
109653, \4e91\53571515, 0L, 0L,0.001, ,100,20151113, ,0,109653,109653,685, N,0,0,100000,0,0,0, 63000000L, 0L,1,109653,
109654, \5185\849915Z5, 0L, 0L,0.001, ,100,20151116, ,0,109654,109654,2223, N,0,0,100000,0,0,0, 4937600L, 0L,1,109654,
109655, \5185\849915Z6, 0L, 0L,0.001, ,100,20151116, ,0,109655,109655,2377, N,0,0,100000,0,0,0, 20000000L, 0L,1,109655,
109656, \5185\849915Z7, 0L, 0L,0.001, ,100,20151116, ,0,109656,109656,2496, N,0,0,100000,0,0,0, 14800000L, 0L,1,109656,
109657, \5185\849915Z8, 0L, 0L,0.001, ,100,20151116, ,0,109657,109657,729, N,0,0,100000,0,0,0, 10000000L, 0L,1,109657,
109658, \5185\84991509, 0L, 0L,0.001, ,100,20151116, ,0,109658,109658,2223, N,0,0,100000,0,0,0, 19039300L, 0L,1,109658,
109659, \5185\84991510, 0L, 0L,0.001, ,100,20151116, ,0,109659,109659,2377, N,0,0,100000,0,0,0, 56700000L, 0L,1,109659,
109660, \5185\84991511, 0L, 0L,0.001, ,100,20151116, ,0,109660,109660,2496, N,0,0,100000,0,0,0, 56700000L, 0L,1,109660,
109661, \5185\84991512, 0L, 0L,0.001, ,100,20151116, ,0,109661,109661,729, N,0,0,100000,0,0,0, 56700000L, 0L,1,109661,
109662, \53a6\95e81505, 0L, 0L,0.001, ,100,20151117, ,0,109662,109662,1942, N,0,0,100000,0,0,0, 1872500L, 0L,1,109662,
109663, \53a6\95e81506, 0L, 0L,0.001, ,100,20151117, ,0,109663,109663,2081, N,0,0,100000,0,0,0, 2700000L, 0L,1,109663,
109664, \53a6\95e81507, 0L, 0L,0.001, ,100,20151117, ,0,109664,109664,2193, N,0,0,100000,0,0,0, 2700000L, 0L,1,109664,
109665, \53a6\95e81508, 0L, 0L,0.001, ,100,20151117, ,0,109665,109665,634, N,0,0,100000,0,0,0, 1800000L, 0L,1,109665,
109666, \53a6\95e815Z3, 0L, 0L,0.001, ,100,20151117, ,0,109666,109666,2081, N,0,0,100000,0,0,0, 10818900L, 0L,1,109666,
109667, \53a6\95e815Z4, 0L, 0L,0.001, ,100,20151117, ,0,109667,109667,634, N,0,0,100000,0,0,0, 10800000L, 0L,1,109667,
109668, \5b81\6ce215Z5, 0L, 0L,0.001, ,100,20151117, ,0,109668,109668,1942, N,0,0,100000,0,0,0, 8400000L, 0L,1,109668,
109669, \5b81\6ce215Z6, 0L, 0L,0.001, ,100,20151117, ,0,109669,109669,2151, N,0,0,100000,0,0,0, 12600000L, 0L,1,109669,
109670, \5b81\6ce215Z7, 0L, 0L,0.001, ,100,20151117, ,0,109670,109670,2263, N,0,0,100000,0,0,0, 8400000L, 0L,1,109670,
109671, \5b81\6ce215Z8, 0L, 0L,0.001, ,100,20151117, ,0,109671,109671,675, N,0,0,100000,0,0,0, 12600000L, 0L,1,109671,
109672, \8d35\5dde15Z1, 0L, 0L,0.001, ,100,20151112, ,0,109672,109672,2129, N,0,0,100000,0,0,0, 100000000L, 0L,1,109672,
109673, \8d35\5dde15Z2, 0L, 0L,0.001, ,100,20151112, ,0,109673,109673,2258, N,0,0,100000,0,0,0, 150000000L, 0L,1,109673,
109674, \8d35\5dde15Z3, 0L, 0L,0.001, ,100,20151112, ,0,109674,109674,2364, N,0,0,100000,0,0,0, 150000000L, 0L,1,109674,
109675, \8d35\5dde15Z4, 0L, 0L,0.001, ,100,20151112, ,0,109675,109675,720, N,0,0,100000,0,0,0, 100000000L, 0L,1,109675,
109676, \6c5f\82cf1509, 0L, 0L,0.001, ,100,20151112, ,0,109676,109676,2058, N,0,0,100000,0,0,0, 162400000L, 2000000L,1,109676,
109677, \6c5f\82cf1510, 0L, 0L,0.001, ,101.4,20151112, ,0,109677,109677,2215, N,0,0,100000,0,0,0, 243600000L, 100L,1,109677,
109678, \6c5f\82cf1511, 0L, 0L,0.001, ,100,20151112, ,0,109678,109678,2322, N,0,0,100000,0,0,0, 243600000L, 0L,1,109678,
109679, \6c5f\82cf1512, 0L, 0L,0.001, ,100,20151112, ,0,109679,109679,699, N,0,0,100000,0,0,0, 162400000L, 0L,1,109679,
109680, \6c5f\82cf15Z8, 0L, 0L,0.001, ,100,20151112, ,0,109680,109680,2058, N,0,0,100000,0,0,0, 71321200L, 0L,1,109680,
109681, \6c5f\82cf15Z9, 0L, 0L,0.001, ,100,20151112, ,0,109681,109681,2186, N,0,0,100000,0,0,0, 106700000L, 0L,1,109681,
109682, \6c5f\82cf1513, 0L, 0L,0.001, ,100,20151112, ,0,109682,109682,2293, N,0,0,100000,0,0,0, 106700000L, 0L,1,109682,
109683, \6c5f\82cf1514, 0L, 0L,0.001, ,100,20151112, ,0,109683,109683,688, N,0,0,100000,0,0,0, 71200000L, 0L,1,109683,
109684, \9655\897f1510, 0L, 0L,0.001, ,100,20151119, ,0,109684,109684,2349, N,0,0,100000,0,0,0, 49600000L, 0L,1,109684,
109685, \9655\897f1511, 0L, 0L,0.001, ,100,20151119, ,0,109685,109685,2474, N,0,0,100000,0,0,0, 49600000L, 0L,1,109685,
109686, \9655\897f1512, 0L, 0L,0.001, ,100,20151119, ,0,109686,109686,700, N,0,0,100000,0,0,0, 16665100L, 0L,1,109686,
109687, \9655\897f15Z9, 0L, 0L,0.001, ,100,20151119, ,0,109687,109687,2107, N,0,0,100000,0,0,0, 66200000L, 0L,1,109687,
109688, \9655\897f1513, 0L, 0L,0.001, ,100,20151119, ,0,109688,109688,2245, N,0,0,100000,0,0,0, 66200000L, 0L,1,109688,
109689, \9655\897f1514, 0L, 0L,0.001, ,100,20151119, ,0,109689,109689,2384, N,0,0,100000,0,0,0, 66200000L, 0L,1,109689,
109690, \9655\897f1515, 0L, 0L,0.001, ,100,20151119, ,0,109690,109690,698, N,0,0,100000,0,0,0, 22305800L, 0L,1,109690,
109691, \9655\897f1509, 0L, 0L,0.001, ,100,20151119, ,0,109691,109691,2190, N,0,0,100000,0,0,0, 49600000L, 0L,1,109691,
109692, \9f99\6c5f1505, 0L, 0L,0.001, ,100,20151120, ,0,109692,109692,2143, N,0,0,100000,0,0,0, 130000000L, 0L,1,109692,
109693, \9f99\6c5f1506, 0L, 0L,0.001, ,100,20151120, ,0,109693,109693,2287, N,0,0,100000,0,0,0, 130000000L, 0L,1,109693,
109694, \9f99\6c5f1507, 0L, 0L,0.001, ,100,20151120, ,0,109694,109694,2383, N,0,0,100000,0,0,0, 130000000L, 500000L,1,109694,
109695, \9f99\6c5f1508, 0L, 0L,0.001, ,100,20151120, ,0,109695,109695,655, N,0,0,100000,0,0,0, 52141200L, 0L,1,109695,
109696, \9f99\6c5f15Z4, 0L, 0L,0.001, ,100,20151120, ,0,109696,109696,2273, N,0,0,100000,0,0,0, 15000000L, 0L,1,109696,
109697, \9f99\6c5f15Z5, 0L, 0L,0.001, ,100,20151120, ,0,109697,109697,2376, N,0,0,100000,0,0,0, 9000000L, 0L,1,109697,
109698, \5b81\6ce21505, 0L, 0L,0.001, ,100,20151117, ,0,109698,109698,2005, N,0,0,100000,0,0,0, 10200000L, 0L,1,109698,
109699, \5b81\6ce21506, 0L, 0L,0.001, ,100,20151117, ,0,109699,109699,2151, N,0,0,100000,0,0,0, 15300000L, 0L,1,109699,
109700, \5b81\6ce21507, 0L, 0L,0.001, ,100,20151117, ,0,109700,109700,2263, N,0,0,100000,0,0,0, 10200000L, 0L,1,109700,
109701, \5b81\6ce21508, 0L, 0L,0.001, ,100,20151117, ,0,109701,109701,675, N,0,0,100000,0,0,0, 15300000L, 0L,1,109701,
109702, \5927\8fde15Z5, 0L, 0L,0.001, ,100,20151124, ,0,109702,109702,2092, N,0,0,100000,0,0,0, 11700000L, 0L,1,109702,
109703, \5927\8fde15Z6, 0L, 0L,0.001, ,100,20151124, ,0,109703,109703,2215, N,0,0,100000,0,0,0, 17500000L, 0L,1,109703,
109704, \5927\8fde15Z7, 0L, 0L,0.001, ,100,20151124, ,0,109704,109704,2337, N,0,0,100000,0,0,0, 17500000L, 0L,1,109704,
109705, \5927\8fde15Z8, 0L, 0L,0.001, ,100,20151124, ,0,109705,109705,629, N,0,0,100000,0,0,0, 11700000L, 0L,1,109705,
109706, \5927\8fde1505, 0L, 0L,0.001, ,100,20151124, ,0,109706,109706,2058, N,0,0,100000,0,0,0, 11800000L, 0L,1,109706,
109707, \5927\8fde1506, 0L, 0L,0.001, ,100,20151124, ,0,109707,109707,2215, N,0,0,100000,0,0,0, 17700000L, 0L,1,109707,
109708, \5927\8fde1507, 0L, 0L,0.001, ,100,20151124, ,0,109708,109708,2310, N,0,0,100000,0,0,0, 17700000L, 0L,1,109708,
109709, \5927\8fde1508, 0L, 0L,0.001, ,100,20151124, ,0,109709,109709,622, N,0,0,100000,0,0,0, 11800000L, 0L,1,109709,
109710, \5409\67971505, 0L, 0L,0.001, ,100,20151126, ,0,109710,109710,2075, N,0,0,100000,0,0,0, 24468600L, 0L,1,109710,
109711, \5409\67971506, 0L, 0L,0.001, ,100,20151126, ,0,109711,109711,2318, N,0,0,100000,0,0,0, 73200000L, 0L,1,109711,
109712, \5409\67971507, 0L, 0L,0.001, ,100,20151126, ,0,109712,109712,2325, N,0,0,100000,0,0,0, 73200000L, 0L,1,109712,
109713, \5409\67971508, 0L, 0L,0.001, ,100,20151126, ,0,109713,109713,614, N,0,0,100000,0,0,0, 73200000L, 0L,1,109713,
109714, \5409\679715Z1, 0L, 0L,0.001, ,100,20151126, ,0,109714,109714,2257, N,0,0,100000,0,0,0, 54322100L, 0L,1,109714,
109715, \5409\679715Z2, 0L, 0L,0.001, ,100,20151126, ,0,109715,109715,614, N,0,0,100000,0,0,0, 54300000L, 0L,1,109715,
109716, \5409\679715Z3, 0L, 0L,0.001, ,100,20151126, ,0,109716,109716,2257, N,0,0,100000,0,0,0, 16482900L, 0L,1,109716,
109717, \5409\679715Z4, 0L, 0L,0.001, ,100,20151126, ,0,109717,109717,635, N,0,0,100000,0,0,0, 8864000L, 0L,1,109717,
109718, \5317\4eac1505, 0L, 0L,0.001, ,100,20151126, ,0,109718,109718,1968, N,0,0,100000,0,0,0, 20170700L, 0L,1,109718,
109719, \5317\4eac1506, 0L, 0L,0.001, ,100,20151126, ,0,109719,109719,2089, N,0,0,100000,0,0,0, 24054600L, 0L,1,109719,
109720, \5317\4eac1507, 0L, 0L,0.001, ,100,20151126, ,0,109720,109720,2183, N,0,0,100000,0,0,0, 25388600L, 0L,1,109720,
109721, \5317\4eac1508, 0L, 0L,0.001, ,100,20151126, ,0,109721,109721,575, N,0,0,100000,0,0,0, 16738500L, 0L,1,109721,
109722, \5317\4eac15Z5, 0L, 0L,0.001, ,100,20151126, ,0,109722,109722,1974, N,0,0,100000,0,0,0, 62298400L, 0L,1,109722,
109723, \5317\4eac15Z6, 0L, 0L,0.001, ,100,20151126, ,0,109723,109723,2089, N,0,0,100000,0,0,0, 69606200L, 0L,1,109723,
109724, \5317\4eac15Z7, 0L, 0L,0.001, ,100,20151126, ,0,109724,109724,2183, N,0,0,100000,0,0,0, 66907500L, 0L,1,109724,
109725, \5317\4eac15Z8, 0L, 0L,0.001, ,100,20151126, ,0,109725,109725,575, N,0,0,100000,0,0,0, 57870000L, 0L,1,109725,
109726, \5317\4eac15Z9, 0L, 0L,0.001, ,100,20151126, ,0,109726,109726,2183, N,0,0,100000,0,0,0, 2030000L, 0L,1,109726,
109727, \6e56\53571505, 0L, 0L,0.001, ,100,20151127, ,0,109727,109727,2023, N,0,0,100000,0,0,0, 46467000L, 0L,1,109727,
109728, \6e56\53571506, 0L, 0L,0.001, ,100,20151127, ,0,109728,109728,2123, N,0,0,100000,0,0,0, 132000000L, 0L,1,109728,
109729, \6e56\53571507, 0L, 0L,0.001, ,100,20151127, ,0,109729,109729,2230, N,0,0,100000,0,0,0, 132000000L, 0L,1,109729,
109730, \6e56\53571508, 0L, 0L,0.001, ,100,20151127, ,0,109730,109730,565, N,0,0,100000,0,0,0, 132000000L, 0L,1,109730,
109731, \4e0a\6d771508, 0L, 0L,0.001, ,100,20151201, ,0,109731,109731,1947, N,0,0,100000,0,0,0, 50000000L, 0L,1,109731,
109732, \4e0a\6d771509, 0L, 0L,0.001, ,100,20151201, ,0,109732,109732,2046, N,0,0,100000,0,0,0, 50000000L, 0L,1,109732,
109733, \8d35\5dde15Z8, 0L, 0L,0.001, ,100,20151203, ,0,109733,109733,551, N,0,0,100000,0,0,0, 56000000L, 0L,1,109733,
109734, \8d35\5dde15Z5, 0L, 0L,0.001, ,100,20151203, ,0,109734,109734,2023, N,0,0,100000,0,0,0, 58159400L, 0L,1,109734,
109735, \8d35\5dde15Z6, 0L, 0L,0.001, ,100,20151203, ,0,109735,109735,2128, N,0,0,100000,0,0,0, 85000000L, 0L,1,109735,
109736, \8d35\5dde15Z7, 0L, 0L,0.001, ,100,20151203, ,0,109736,109736,2232, N,0,0,100000,0,0,0, 85000000L, 0L,1,109736,
