股票代码-0,股票名称-1,限价单最大下单量-16,限价单最小下单量-17,最小变动价位-18,创建日-19,昨日收盘价-2,上市日-20,到期日-21,昨日结算-3,合约在RZRK的代码-32,合约在交易所的代码-33,利息额-35,除权除息-36,停牌-37,昨日持仓-4,涨停价-5,投资者适当性管理分类-50,最小回购天数-52,跌停价-6,总股本-7,流通盘-8,合约数量乘数-9,股票-S
89, \6df1\5733\673a\573a, 0L, 0L,0.01, ,8.26,19980420, ,0,89,89,0, N,0,0,9.09,0,0,7.43, 2050769509L, 2050769509L,1,89,
90, \5929\5065\96c6\56e2, 0L, 0L,0.01, ,5.68,19990721, ,0,90,90,0, N,0,0,6.25,0,0,5.11, 1437342642L, 928250473L,1,90,
96, \5e7f\805a\80fd\6e90, 0L, 0L,0.01, ,10.8,20000724, ,0,96,96,0, N,0,0,11.88,0,0,9.72, 528000000L, 510848000L,1,96,
99, \4e2d\4fe1\6d77\76f4, 0L, 0L,0.01, ,6.34,20000731, ,0,99,99,0, N,0,0,6.97,0,0,5.71, 606070420L, 606070420L,1,99,
100, TCL \96c6\56e2, 0L, 0L,0.01, ,2.9,20040130, ,0,100,100,0, N,0,0,3.19,0,0,2.61, 13549648507L, 11727930515L,1,100,
150, \5b9c\534e\5065\5eb7, 0L, 0L,0.01, ,18.7,20000807, ,0,150,150,0, N,0,0,20.57,0,0,16.83, 626926827L, 525581403L,1,150,
151, \4e2d\6210\80a1\4efd, 0L, 0L,0.01, ,12.03,20000906, ,0,151,151,0, N,0,0,13.23,0,0,10.83, 295980000L, 266543967L,1,151,
153, \4e30\539f\836f\4e1a, 0L, 0L,0.01, ,6.82,20000920, ,0,153,153,0, N,0,0,7.5,0,0,6.14, 317077630L, 311977230L,1,153,
155, \5ddd\5316\80a1\4efd, 0L, 0L,0.01, ,4.88,20000926, ,0,155,155,0, N,0,0,5.37,0,0,4.39, 1270000000L, 937200000L,1,155,
156, \534e\6570\4f20\5a92, 0L, 0L,0.01, ,9.11,20121019, ,0,156,156,0, N,0,0,10.02,0,0,8.2, 1433351902L, 1280295337L,1,156,
157, \4e2d\8054\91cd\79d1, 0L, 0L,0.01, ,4.02,20001012, ,0,157,157,0, N,0,0,4.42,0,0,3.62, 7794048075L, 7614004147L,1,157,
158, \5e38\5c71\5317\660e, 0L, 0L,0.01, ,6.1,20000724, ,0,158,158,0, N,0,0,6.71,0,0,5.49, 1652874961L, 1479205143L,1,158,
159, \56fd\9645\5b9e\4e1a, 0L, 0L,0.01, ,3.57,20000926, ,0,159,159,0, N,0,0,3.93,0,0,3.21, 481139294L, 481139294L,1,159,
166, \7533\4e07\5b8f\6e90, 0L, 0L,0.01, ,4.4,20150126, ,0,166,166,0, N,0,0,4.84,0,0,3.96, 22535944560L, 20028119193L,1,166,
301, \4e1c\65b9\5e02\573a, 0L, 0L,0.01, ,5.92,20000529, ,0,301,301,0, N,0,0,6.51,0,0,5.33, 1218236445L, 1218236445L,1,301,
333, \7f8e\7684\96c6\56e2, 0L, 0L,0.01, ,46.57,20130918, ,0,333,333,0, N,0,0,51.23,0,0,41.91, 6624185795L, 6475862326L,1,333,
338, \6f4d\67f4\52a8\529b, 0L, 0L,0.01, ,8.5,20070430, ,0,338,338,0, N,0,0,9.35,0,0,7.65, 7997238556L, 6258372257L,1,338,
400, \8bb8\7ee7\7535\6c14, 0L, 0L,0.01, ,7.89,19970418, ,0,400,400,0, N,0,0,8.68,0,0,7.1, 1008327309L, 1008182431L,1,400,
401, \5180\4e1c\6c34\6ce5, 0L, 0L,0.01, ,9.65,19960614, ,0,401,401,0, N,0,0,10.62,0,0,8.69, 1347522914L, 1347219101L,1,401,
402, \91d1 \878d \8857, 0L, 0L,0.01, ,7.22,19960626, ,0,402,402,0, N,0,0,7.94,0,0,6.5, 2988929907L, 2987793996L,1,402,
403, ST\751f\5316, 0L, 0L,0.01, ,29.96,19960628, ,0,403,403,0, N,0,0,31.46,0,0,28.46, 272577599L, 265288674L,1,403,
404, \957f\8679\534e\610f, 0L, 0L,0.01, ,4.32,19960619, ,0,404,404,0, N,0,0,4.75,0,0,3.89, 695995979L, 692537074L,1,404,
407, \80dc\5229\80a1\4efd, 0L, 0L,0.01, ,4.02,19960703, ,0,407,407,0, N,0,0,4.42,0,0,3.62, 880084656L, 737621624L,1,407,
408, \85cf\683c\63a7\80a1, 0L, 0L,0.01, ,14.55,19960628, ,0,408,408,0, N,17,0,16.01,0,0,13.1, 1993779522L, 446649901L,1,408,
409, *ST\5730\77ff, 0L, 0L,0.01, ,3.07,20050530, ,0,409,409,0, N,0,0,3.22,0,0,2.92, 510931158L, 395725952L,1,409,
410, \6c88\9633\673a\5e8a, 0L, 0L,0.01, ,8.18,19960718, ,0,410,410,0, N,0,0,9,0,0,7.36, 765470884L, 740232384L,1,410,
411, \82f1\7279\96c6\56e2, 0L, 0L,0.01, ,14.23,20020625, ,0,411,411,0, N,0,0,15.65,0,0,12.81, 207449946L, 207319071L,1,411,
413, \4e1c\65ed\5149\7535, 0L, 0L,0.01, ,6.14,19960925, ,0,413,413,0, N,0,0,6.75,0,0,5.53, 5730250118L, 4333435497L,1,413,
415, \6e24\6d77\91d1\63a7, 0L, 0L,0.01, ,4.32,19960716, ,0,415,415,0, N,0,0,4.75,0,0,3.89, 6184521282L, 3547903027L,1,415,
416, \6c11\751f\63a7\80a1, 0L, 0L,0.01, ,5.27,19960719, ,0,416,416,0, N,0,0,5.8,0,0,4.74, 531871494L, 531627879L,1,416,
417, \5408\80a5\767e\8d27, 0L, 0L,0.01, ,5.65,19960812, ,0,417,417,0, N,0,0,6.22,0,0,5.09, 779884200L, 779027451L,1,417,
418, \5c0f\5929\9e45\ff21, 0L, 0L,0.01, ,57.28,19970328, ,0,418,418,0, N,0,0,63.01,0,0,51.55, 632487764L, 630400019L,1,418,
419, \901a\7a0b\63a7\80a1, 0L, 0L,0.01, ,4.98,19960816, ,0,419,419,0, N,0,0,5.48,0,0,4.48, 543582655L, 543289983L,1,419,
420, \5409\6797\5316\7ea4, 0L, 0L,0.01, ,2.35,19960802, ,0,420,420,0, N,0,0,2.59,0,0,2.12, 1970706656L, 1663305424L,1,420,
421, \5357\4eac\516c\7528, 0L, 0L,0.01, ,4.7,19960806, ,0,421,421,0, N,0,0,5.17,0,0,4.23, 572646934L, 572646934L,1,421,
