当前价-0,成交总量-1,成交总额-2,持仓量-3,昨结算-4,成交笔数-5,市盈率1-6,开盘价-8,最高价-9,时间戳-G,最低价-a,今结算-b,前收盘-c,多档委买价-d,多档委买量-e,多档委卖价-f,多档委卖量-g
8.73,603149,527866017,0,0,0,6.72,8.85,8.9, 2018-07-16 14:17:45,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2189, 8048, 12654, 12156, 9235"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 544, 2383, 1463, 2537, 2612"
8.73,603163,527878234,0,0,0,6.72,8.85,8.9, 2018-07-16 14:17:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2186, 8048, 12654, 12156, 9235"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 708, 2383, 1463, 2537, 2612"
8.72,603207,527916609,0,0,0,6.71,8.85,8.9, 2018-07-16 14:17:51,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2149, 8048, 12662, 12262, 9225"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 701, 2383, 1483, 2537, 2612"
8.72,603369,528057895,0,0,0,6.71,8.85,8.9, 2018-07-16 14:17:54,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2039, 8063, 12662, 12270, 9225"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 679, 2383, 1483, 2537, 2612"
8.73,603384,528070987,0,0,0,6.72,8.85,8.9, 2018-07-16 14:17:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2138, 8063, 12665, 12270, 9225"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 667, 2393, 1483, 2537, 2612"
8.72,603395,528080579,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:00,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2127, 8063, 12665, 12270, 9225"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 678, 2393, 2483, 2537, 2612"
8.72,603424,528105867,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:03,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2099, 8063, 12665, 12270, 9225"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 680, 2393, 2483, 2537, 2612"
8.72,603426,528107611,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:06,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2147, 8065, 12718, 12270, 9225"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 666, 2393, 2483, 2537, 2612"
8.72,603761,528399731,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:09,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2018, 8064, 12728, 12270, 9225"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 666, 2393, 2483, 2537, 2612"
8.72,603767,528404963,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:12,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2012, 8064, 12728, 12270, 9225"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1025, 2393, 2483, 2537, 2612"
8.72,603769,528406707,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:15,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2012, 8064, 12738, 12270, 8725"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1027, 2393, 2483, 2537, 2612"
8.72,603808,528440724,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:18,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1983, 8064, 12741, 12270, 8725"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1018, 2393, 2483, 2537, 2612"
8.72,603808,528440724,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:21,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2017, 8123, 12741, 12270, 8725"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1019, 2393, 2483, 2399, 2612"
8.72,603810,528442468,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:24,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2015, 8123, 12725, 12270, 8725"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1019, 2393, 2483, 2399, 2612"
8.72,603848,528475604,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:27,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1977, 8155, 12725, 12270, 8725"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1019, 2393, 2483, 2399, 2612"
8.72,603865,528490443,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:30,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1975, 8112, 12728, 12276, 8725"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1035, 2393, 2483, 2399, 2612"
8.72,603913,528532299,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:33,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1957, 8112, 12728, 12276, 8730"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1035, 2393, 2483, 2399, 2612"
8.73,604043,528645779,0,0,0,6.72,8.85,8.9, 2018-07-16 14:18:36,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1957, 8112, 12749, 12276, 8730"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 904, 2393, 2483, 2399, 2612"
8.72,604055,528656243,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:39,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1940, 8112, 12749, 12276, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 904, 2393, 2483, 2399, 2612"
8.72,604055,528656243,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:42,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1926, 8122, 12749, 12273, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1142, 2403, 2513, 2399, 2612"
8.72,604073,528671939,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:45,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1915, 8135, 12769, 12278, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1142, 2403, 2543, 2399, 2612"
8.72,604088,528685033,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1894, 8126, 18246, 12278, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1128, 2403, 2543, 2399, 2612"
8.72,604101,528696373,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:51,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1885, 8126, 18246, 12278, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1211, 2403, 2543, 2399, 2612"
8.72,604159,528746949,0,0,0,6.71,8.85,8.9, 2018-07-16 14:18:54,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1809, 8136, 18276, 12278, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1212, 2463, 2543, 2399, 2612"
8.73,604171,528757420,0,0,0,6.72,8.85,8.9, 2018-07-16 14:18:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1846, 8136, 18332, 12278, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1205, 2463, 2543, 2399, 2612"
8.72,604173,528759164,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:00,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1816, 8151, 18332, 12278, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1205, 2463, 2543, 2399, 2612"
8.72,604193,528776604,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:03,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1817, 8151, 18332, 12298, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1205, 2463, 2543, 2399, 2612"
8.72,604207,528788812,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:06,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1804, 8151, 18332, 12298, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1206, 2463, 2543, 2399, 2612"
8.72,604529,529069596,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:09,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1974, 8196, 18332, 12321, 9039"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1206, 2463, 2543, 2399, 2612"
8.72,604530,529070468,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:12,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 1973, 8196, 18324, 12350, 9039"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1206, 2463, 2543, 2399, 2612"
8.73,604537,529076574,0,0,0,6.72,8.85,8.9, 2018-07-16 14:19:15,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3011, 8196, 18374, 12350, 9039"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1204, 2463, 2543, 2401, 2612"
8.73,604542,529080939,0,0,0,6.72,8.85,8.9, 2018-07-16 14:19:18,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3032, 8196, 18374, 12350, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1199, 2463, 2543, 2401, 2612"
8.72,604568,529103626,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:21,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3023, 8147, 18374, 12350, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1184, 2463, 2543, 2401, 2612"
8.72,604626,529154243,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:24,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3006, 8147, 18374, 12350, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1143, 2463, 2543, 2401, 2612"
8.72,604626,529154243,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:27,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3027, 8152, 18374, 12350, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1005, 2463, 2543, 2401, 2612"
8.72,605628,530028987,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:30,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3035, 8150, 18374, 12350, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 5, 2463, 2543, 2401, 2612"
8.72,605632,530032475,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:33,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3042, 8150, 18475, 12350, 9030"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 5, 2463, 2543, 2401, 2612"
8.73,605652,530049919,0,0,0,6.72,8.85,8.9, 2018-07-16 14:19:36,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3149, 8111, 18465, 12350, 8530"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1, 2463, 2543, 2401, 2612"
8.73,605665,530061268,0,0,0,6.72,8.85,8.9, 2018-07-16 14:19:39,8.69,0,8.88," 8.7300000000000004, 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995"," 21, 3166, 8111, 18465, 12350"," 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996, 8.7799999999999994"," 2463, 2543, 2401, 2612, 2377"
8.73,605694,530086580,0,0,0,6.72,8.85,8.9, 2018-07-16 14:19:42,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3210, 8124, 18472, 12350, 8530"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 18, 2470, 2543, 2401, 2612"
8.72,605712,530102276,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:45,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3192, 8124, 18473, 12350, 8525"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 18, 2470, 2543, 2401, 2612"
8.73,605716,530105768,0,0,0,6.72,8.85,8.9, 2018-07-16 14:19:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3217, 8124, 18473, 12350, 8525"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 14, 2470, 2543, 2401, 2612"
8.72,605762,530145885,0,0,0,6.71,8.85,8.9, 2018-07-16 14:19:51,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3178, 8124, 18463, 12350, 8535"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 9, 2480, 2543, 2401, 2612"
8.73,605839,530213099,0,0,0,6.72,8.85,8.9, 2018-07-16 14:19:54,8.69,0,8.88," 8.7300000000000004, 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995"," 7, 3186, 8624, 18459, 12350"," 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996, 8.7799999999999994"," 2480, 2543, 2401, 2612, 2377"
8.73,605861,530232295,0,0,0,6.72,8.85,8.9, 2018-07-16 14:19:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3167, 8624, 18452, 12351, 8535"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 57, 2480, 2543, 2401, 2612"
8.73,605883,530251499,0,0,0,6.72,8.85,8.9, 2018-07-16 14:20:00,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3197, 8724, 18252, 12351, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 37, 2480, 2542, 2401, 2612"
8.72,605901,530267195,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:03,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3201, 8725, 18260, 12351, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 37, 2480, 2542, 2401, 2612"
8.72,606205,530532286,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:06,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2900, 8748, 18250, 12351, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 34, 2480, 2542, 2401, 2612"
8.72,606267,530586353,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:09,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2841, 8748, 18250, 12351, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1035, 2480, 2542, 2401, 2612"
8.72,606279,530596817,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:12,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2890, 8748, 18250, 12351, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1065, 2480, 2542, 2401, 2612"
8.73,606296,530611656,0,0,0,6.72,8.85,8.9, 2018-07-16 14:20:15,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2888, 8748, 18416, 12351, 8379"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1031, 2480, 2542, 2401, 2612"
8.72,606298,530613400,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:18,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2886, 8748, 18426, 12351, 8379"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1041, 2473, 2542, 2401, 2612"
8.72,606299,530614272,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:21,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3009, 8748, 18426, 12347, 8379"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1074, 2473, 2522, 2401, 2612"
8.72,606311,530624736,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:24,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3007, 8748, 18426, 12357, 8379"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1074, 2473, 2522, 2401, 2612"
8.73,606326,530637821,0,0,0,6.72,8.85,8.9, 2018-07-16 14:20:27,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3009, 8750, 18431, 12357, 8379"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1119, 2473, 2522, 2401, 2612"
8.72,606339,530649157,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:30,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2996, 8750, 18431, 12357, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1139, 2473, 2522, 2401, 2612"
8.73,606642,530913673,0,0,0,6.72,8.85,8.9, 2018-07-16 14:20:33,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 3015, 8750, 18451, 12357, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 839, 2473, 2522, 2401, 2612"
8.73,606764,531020065,0,0,0,6.72,8.85,8.9, 2018-07-16 14:20:36,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2901, 8480, 18430, 12356, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 831, 2473, 2522, 2401, 2612"
8.72,606811,531061049,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:39,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2866, 8480, 18434, 12356, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 904, 2473, 2522, 2401, 2612"
8.73,606828,531075888,0,0,0,6.72,8.85,8.9, 2018-07-16 14:20:42,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2864, 8480, 18434, 12356, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 889, 2473, 2522, 2401, 2612"
8.72,606830,531077632,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:45,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2862, 8476, 18434, 12356, 8369"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 889, 2473, 2522, 2401, 2612"
8.72,606853,531097694,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2845, 8476, 18441, 12356, 8370"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 883, 2463, 2522, 2401, 2612"
8.72,606874,531116013,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:51,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2831, 8476, 18228, 12356, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 876, 2463, 2522, 2401, 2612"
8.72,606941,531174438,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:54,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2785, 8476, 18238, 12356, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 933, 2463, 2522, 2401, 2612"
8.72,607143,531350782,0,0,0,6.71,8.85,8.9, 2018-07-16 14:20:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2888, 8476, 18248, 12355, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 733, 2463, 2522, 2401, 2612"
8.72,607144,531351654,0,0,0,6.71,8.85,8.9, 2018-07-16 14:21:00,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2937, 8481, 18281, 12350, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 933, 2463, 2522, 2401, 2612"
8.72,607164,531369094,0,0,0,6.71,8.85,8.9, 2018-07-16 14:21:03,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2917, 8491, 18281, 12350, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 933, 2463, 2522, 2401, 2612"
8.73,607490,531653369,0,0,0,6.72,8.85,8.9, 2018-07-16 14:21:06,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2594, 8491, 18280, 12350, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 930, 2463, 2522, 2401, 2612"
8.73,607541,531697891,0,0,0,6.72,8.85,8.9, 2018-07-16 14:21:09,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2493, 8482, 18290, 12350, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 1013, 2463, 2522, 2401, 2612"
8.73,607573,531725812,0,0,0,6.72,8.85,8.9, 2018-07-16 14:21:12,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2478, 8482, 18290, 12346, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 996, 2463, 2522, 2401, 2612"
8.73,607590,531740646,0,0,0,6.72,8.85,8.9, 2018-07-16 14:21:15,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2471, 8482, 18290, 12346, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 986, 2463, 2522, 2401, 2612"
8.72,607771,531898647,0,0,0,6.71,8.85,8.9, 2018-07-16 14:21:18,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 2473, 8482, 18290, 12346, 8381"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 817, 2463, 2522, 2401, 2612"
